495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
495,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,667,0,0,0,0,0
0,607,0,0,0,0,0
0,547,0,0,0,0,0
0,487,0,0,0,0,0
669,427,0,0,0,0,0
609,367,0,0,0,0,0
555,313,0,0,0,0,1
495,253,0,0,0,0,0
435,193,0,0,0,0,0
375,133,0,0,0,0,0
315,0,0,0,0,0,1
255,0,0,0,0,0,0
201,0,0,0,0,0,0
141,0,0,0,0,0,0
381,673,0,0,0,0,0
321,613,0,0,0,0,0
261,553,0,0,0,0,1
201,493,0,0,0,0,0
147,439,0,0,0,0,0
0,373,0,0,0,0,0
693,313,0,0,0,0,0
633,253,0,0,0,0,1
573,193,0,0,0,0,0
513,133,0,0,0,0,0
459,0,0,0,0,0,0
399,0,0,0,0,0,0
339,691,0,0,0,0,0
279,631,0,0,0,0,1
219,571,0,0,0,0,0
159,511,0,0,0,0,0
0,457,0,0,0,0,0
0,397,0,0,0,0,0
0,343,0,0,0,0,0
0,283,0,0,0,0,0
0,223,0,0,0,0,0
0,163,0,0,0,0,0
693,0,0,0,0,0,0
633,0,0,0,0,0,0
579,0,0,0,0,0,0
519,0,0,0,0,0,0
465,0,0,0,0,0,0
405,0,0,0,0,0,0
345,0,0,0,0,0,0
285,679,0,0,0,0,1
231,625,0,0,0,0,0
171,565,0,0,0,0,0
0,505,0,0,0,0,0
0,445,0,0,0,0,0
0,391,0,0,0,0,0
0,331,0,0,0,0,0
0,277,0,0,0,0,1
0,217,0,0,0,0,0
0,163,0,0,0,0,0
0,577,0,0,0,0,0
0,517,0,0,0,0,0
0,457,0,0,0,0,0
0,403,0,0,0,0,0
0,343,0,0,0,0,0
0,289,0,0,0,0,1
681,229,0,0,0,0,0
621,169,0,0,0,0,0
561,0,0,0,0,0,0
507,0,0,0,0,0,0
447,0,0,0,0,0,0
393,685,0,0,0,0,0
333,625,0,0,0,0,0
273,565,0,0,0,0,1
213,505,0,0,0,0,0
153,445,0,0,0,0,0
0,385,0,0,0,0,0
0,330,0,0,0,0,0
0,269,0,0,0,0,1
0,209,0,0,0,0,0
0,149,0,0,0,0,0
0,690,0,0,0,0,0
0,630,0,0,0,0,0
0,575,0,0,0,0,0
0,514,0,0,0,0,0
0,451,0,0,0,0,0
0,388,0,0,0,0,0
0,331,0,0,0,0,0
0,269,0,0,0,0,1
0,204,0,0,0,0,0
668,138,0,0,0,0,0
601,0,0,0,0,0,0
535,0,0,0,0,0,0
474,0,0,0,0,0,0
405,0,0,0,0,0,0
343,683,0,0,0,0,0
273,613,0,0,0,0,1
204,544,0,0,0,0,0
134,474,0,0,0,0,0
0,411,0,0,0,0,0
0,341,0,0,0,0,0
0,272,0,0,0,0,1
0,202,0,0,0,0,0
0,133,0,0,0,0,0
0,341,0,0,0,0,0
0,279,0,0,0,0,1
0,209,0,0,0,0,0
0,146,0,0,0,0,0
697,0,0,0,0,0,0
627,0,0,0,0,0,0
557,0,0,0,0,0,0
494,0,0,0,0,0,0
424,0,0,0,0,0,0
361,675,0,0,0,0,0
291,605,0,0,0,0,1
221,535,0,0,0,0,0
151,465,0,0,0,0,0
0,402,0,0,0,0,0
0,332,0,0,0,0,0
0,269,0,0,0,0,1
0,199,0,0,0,0,0
0,129,0,0,0,0,0
0,696,0,0,0,0,0
0,633,0,0,0,0,0
0,563,0,0,0,0,0
0,493,0,0,0,0,0
0,423,0,0,0,0,0
0,353,0,0,0,0,0
0,283,0,0,0,0,1
0,220,0,0,0,0,0
